open,close,high,low,value,volume,begin,end
203.0,204.12,205.66,199.19,908359391.95,4493547.0,2023-09-26,2023-09-26 23:59:59
204.99,203.45,205.7,201.87,535008482.24,2624340.0,2023-09-27,2023-09-27 23:59:59
203.8,205.57,208.0,202.37,711340509.33,3475188.0,2023-09-28,2023-09-28 23:59:59
205.9,202.81,206.64,199.6,622437712.73,3054267.0,2023-09-29,2023-09-29 23:59:59
203.7,205.98,207.18,202.62,856891837.53,4168822.0,2023-10-02,2023-10-02 23:59:59
206.01,209.19,209.34,203.2,1383853981.33,6671454.0,2023-10-03,2023-10-03 23:59:59
209.2,215.99,217.3,209.2,2577734263.82,12058532.0,2023-10-04,2023-10-04 23:59:59
216.11,216.75,218.53,213.25,1688766015.27,7806346.0,2023-10-05,2023-10-05 23:59:59
217.1,222.74,222.96,216.41,1863885620.18,8469985.0,2023-10-06,2023-10-06 23:59:59
223.0,221.66,225.13,220.48,1271449399.16,5699770.0,2023-10-09,2023-10-09 23:59:59
222.02,233.29,234.89,218.76,3055904808.23,13386707.0,2023-10-10,2023-10-10 23:59:59
233.26,226.86,237.81,225.6,2893772479.99,12407648.0,2023-10-11,2023-10-11 23:59:59
225.55,232.27,233.98,223.99,1695176088.13,7353324.0,2023-10-12,2023-10-12 23:59:59
232.5,237.88,237.94,232.27,2478899299.87,10515655.0,2023-10-13,2023-10-13 23:59:59
238.1,237.42,241.72,236.02,2079932506.52,8699025.0,2023-10-16,2023-10-16 23:59:59
236.9,237.04,239.15,233.07,1804085476.85,7642068.0,2023-10-17,2023-10-17 23:59:59
237.2,245.09,246.88,234.6,3401804471.34,14091545.0,2023-10-18,2023-10-18 23:59:59
245.09,260.61,261.34,243.61,9135389596.53,35807686.0,2023-10-19,2023-10-19 23:59:59
261.4,255.22,269.0,253.62,9232092908.53,35331108.0,2023-10-20,2023-10-20 23:59:59
257.0,259.0,259.6,248.15,5020532362.31,19782090.0,2023-10-23,2023-10-23 23:59:59
260.0,269.71,269.88,256.04,6287804787.43,23729899.0,2023-10-24,2023-10-24 23:59:59
270.01,289.49,289.98,269.1,11474471566.47,41159965.0,2023-10-25,2023-10-25 23:59:59
290.52,277.73,297.16,271.23,26808752835.26,94190936.0,2023-10-26,2023-10-26 23:59:59
278.0,283.99,287.0,270.31,12309493657.56,44132942.0,2023-10-27,2023-10-27 23:59:59
285.0,276.81,288.0,274.6,8516646326.22,30324986.0,2023-10-30,2023-10-30 23:59:59
274.62,266.82,276.24,264.27,9845897584.37,36492280.0,2023-10-31,2023-10-31 23:59:59
265.69,270.49,272.21,264.02,4751571606.69,17646531.0,2023-11-01,2023-11-01 23:59:59
272.3,278.2,279.79,270.49,7885818635.12,28551911.0,2023-11-02,2023-11-02 23:59:59
280.0,277.73,282.44,275.34,4815958444.77,17282623.0,2023-11-03,2023-11-03 23:59:59
278.01,283.67,284.33,277.01,2396635628.77,8531207.0,2023-11-06,2023-11-06 23:59:59
284.14,293.0,294.24,282.05,6787660147.57,23522347.0,2023-11-07,2023-11-07 23:59:59
293.91,301.9,303.48,293.15,11401126632.67,38059261.0,2023-11-08,2023-11-08 23:59:59
302.87,308.4,312.0,291.37,16779161808.72,55657560.0,2023-11-09,2023-11-09 23:59:59
308.5,320.41,322.99,305.12,20199846614.63,63736651.0,2023-11-10,2023-11-10 23:59:59
322.2,314.99,325.46,309.42,14055992289.31,44380870.0,2023-11-13,2023-11-13 23:59:59
314.0,315.3,320.8,305.77,9122806017.33,29083294.0,2023-11-14,2023-11-14 23:59:59
315.0,329.09,329.79,312.25,12787109333.24,39655930.0,2023-11-15,2023-11-15 23:59:59
